primary key, precinct, population, polygon type
"2132", "KIR 32-3422", "105.0", "MultiPolygon"
"2152", "Water: Lake Sammamish Leg 5", "0.0", "Polygon"
"2153", "Water: Lake Washington - Seattle Leg 37", "0.0", "MultiPolygon"
"2154", "Water: Lake Washington Leg 37", "0.0", "Polygon"
"2155", "Water: Lake Washington Leg 41", "0.0", "Polygon"
"2156", "Water: Lake Washington Leg 45", "0.0", "Polygon"
"2157", "Water: Lake Washington - Seattle Leg 46", "0.0", "Polygon"
"2158", "Water: Lake Washington - Seattle Leg 43", "0.0", "Polygon"
"2159", "Water: Puget Sound Leg 30", "0.0", "Polygon"
"2160", "Water: Puget Sound Leg 34", "0.0", "Polygon"
"2163", "Chinook", "493.0", "MultiPolygon"
"2175", "ENM 31-0411", "778.0", "MultiPolygon"
"2181", "ENM 31-0416", "649.0", "MultiPolygon"
"2188", "KEN 47-0600", "0.0", "Polygon"
"2260", "Big Soos", "0.0", "Polygon"
"2302", "Bridle Trails", "0.0", "Polygon"
"2333", "Maple Ridge", "0.0", "Polygon"
"2334", "KEN 47-3375", "0.0", "Polygon"
"2458", "Norway Hill", "643.0", "MultiPolygon"
"2466", "Jenkins", "0.0", "Polygon"
"2473", "Grizzly", "729.0", "MultiPolygon"
"2476", "CAR 45-3290", "499.0", "MultiPolygon"
"2545", "Aquaview", "0.0", "Polygon"
"2597", "RNT 47-3494", "0.0", "Polygon"
"2631", "Sunset", "464.126", "MultiPolygon"
"2653", "Riverside", "585.0", "MultiPolygon"
"2762", "Diane", "16.0", "MultiPolygon"
"2795", "Water: Lake Washington Leg 32 Con 1", "0.0", "Polygon"
"2805", "Middle Fork", "491.0", "MultiPolygon"
"2821", "RNT 05-0404", "0.0", "Polygon"
"2958", "Water: Lake Washington Leg 48 Con 8", "0.0", "Polygon"
"2960", "Water: Lake Washington Leg 48 Con 1", "0.0", "Polygon"
"2963", "Water: Puget Sound - City of Normandy Park", "0.0", "Polygon"
"2968", "SNQ 05-1097", "422.0", "MultiPolygon"
"2974", "Lake Leota", "430.0", "MultiPolygon"
"3030", "TUK 37-3499", "168.0", "MultiPolygon"
"3031", "SEA 11-3491", "0.0", "Polygon"
"3086", "Lynn", "0.0", "Polygon"
"3093", "BEL 41-3435", "0.0", "Polygon"
"3126", "RNT 47-3541", "0.0", "Polygon"
"3129", "Water: Lake Sammamish Leg 48", "0.0", "Polygon"
"3134", "Water: Puget Sound - Seattle Leg 34", "0.0", "Polygon"
"3270", "Marymoor", "0.0", "MultiPolygon"
"3282", "Pinnacle", "0.0", "Polygon"
"3283", "Water: Elliott Bay", "0.0", "Polygon"
"3290", "Water: Puget Sound - Seattle Leg 36 Con 7", "0.0", "Polygon"
"3291", "Water: Puget Sound - Seattle Leg 36 Con 1", "0.0", "Polygon"
"3304", "Muckleshoot", "348.0", "MultiPolygon"
"3325", "Wesbo", "63.0", "MultiPolygon"
"3326", "West Hill", "823.0", "MultiPolygon"
"3468", "Borman", "0.0", "Polygon"
"3473", "PAC 31-3487", "0.0", "Polygon"
"3585", "Hilltop", "436.0", "MultiPolygon"
"3586", "RED 45-2659", "167.0", "MultiPolygon"
"3611", "RNT 05-3555", "0.0", "Polygon"
"3613", "Water: Puget Sound - City of Burien Con 7", "0.0", "Polygon"
"3615", "Water: Lake Washington Leg 32 Con 7", "0.0", "Polygon"
"3626", "Russ", "26.0", "MultiPolygon"
"3630", "B-D 47-3520", "0.0", "Polygon"
"3631", "B-D 31-3521", "0.0", "MultiPolygon"
"3745", "RED 48-0946", "0.0", "Polygon"
"3765", "Water: Puget Sound Leg 33", "0.0", "Polygon"
"3766", "Water: Puget Sound Leg 32", "0.0", "Polygon"
"3767", "Water: Puget Sound - City of Burien Con 9", "0.0", "Polygon"
"3768", "RNT 37-0969", "0.0", "Polygon"
"3769", "TUK 33-3606", "0.0", "Polygon"
"3770", "BOT 32-3419", "0.0", "Polygon"
"3792", "Poulsbo 401", "968.0", "MultiPolygon"
"3794", "Poulsbo 406", "873.0", "MultiPolygon"
"3796", "Poulsbo 404", "1625.0", "MultiPolygon"
"3828", "Sheridan", "328.0", "MultiPolygon"
"3831", "Port Orchard 204", "732.0", "MultiPolygon"
"3834", "Port Orchard 206", "0.0", "Polygon"
"3837", "Bremerton 290", "0.0", "Polygon"
"3860", "Bremerton 114", "0.0", "Polygon"
"3871", "Bremerton 107", "0.0", "MultiPolygon"
"3872", "Heins Creek", "0.0", "Polygon"
"3873", "Kitsap Lake", "70.0", "MultiPolygon"
"3879", "Water: Bremerton Leg 35", "0.0", "Polygon"
"3880", "Water: Bremerton Leg 26", "0.0", "Polygon"
"3881", "Water: Port Madison", "0.0", "Polygon"
"3882", "Water: Puget Sound Leg 23", "0.0", "Polygon"
